attendance,day_night,temp,wind_speed,duration,away_errors,away_hits,home_errors,home_hits,total_runs,home_win
54449,0,89,7,4.267,0,13,1,9,12,0
54449,0,89,4,3.967,2,13,4,6,12,0
54269,0,72,4,3.3,0,4,0,10,6,1
53901,1,84,5,4.2,0,9,1,6,11,0
53621,0,77,6,3.6,1,11,0,9,2,0
53449,0,76,6,2.75,3,5,1,9,10,1
53409,0,76,7,3.533,0,8,0,5,7,0
53299,0,80,8,3.067,3,6,0,13,15,1
53297,0,72,8,3.033,0,8,1,1,4,0
53279,1,72,3,3,0,9,1,9,6,0
52728,0,72,7,2.817,0,10,2,3,9,0
52320,0,72,4,3.65,0,8,2,8,7,1
51962,1,95,4,3.55,1,8,0,12,7,1
51350,0,68,10,3,0,7,0,6,7,0
51220,1,80,8,2.783,1,5,0,6,1,1
50966,0,80,7,3.4,1,9,0,10,16,1
50640,1,79,7,3.383,3,6,0,9,13,1
50247,0,87,11,3.3,1,10,1,3,10,0
49934,0,63,18,3.417,0,4,0,9,7,1
49686,0,63,6,3.017,0,9,1,6,6,0
49617,1,70,6,3.733,0,8,0,7,11,1
49555,0,68,0,3.35,1,4,0,10,13,1
49540,0,82,6,3.4,0,10,0,8,6,0
49522,1,73,6,3.133,0,8,1,6,5,1
49507,0,68,0,3.383,0,7,0,7,6,0
49360,1,62,6,3.8,0,18,0,9,19,0
49289,1,83,4,2.633,2,4,1,1,5,1
49271,1,70,6,2.117,1,3,0,3,1,1
49142,1,68,0,3.017,1,2,0,9,6,1
48911,0,73,5,3.533,1,6,1,13,6,0
48911,0,80,11,2.7,0,5,0,6,4,1
48871,0,68,0,3.4,0,11,1,9,15,0
48800,1,68,0,2.617,0,6,1,6,3,0
48609,0,68,7,3.633,1,9,0,9,10,0
48459,0,67,5,2.75,1,5,2,6,8,1
48411,1,82,6,2.75,2,3,0,9,7,1
48370,0,74,5,2.833,0,8,1,11,13,1
48344,0,70,4,2.933,0,7,1,9,11,1
48339,0,77,14,3.033,1,10,2,9,14,1
48329,1,88,5,2.933,0,10,2,5,7,0
48282,1,75,11,3.383,0,8,2,4,7,0
48165,0,90,5,4.183,0,15,0,12,15,0
48154,1,71,6,3.617,3,15,2,13,19,1
48153,0,77,7,2.767,0,6,0,9,5,0
48113,0,76,5,3.083,0,15,2,5,11,0
48105,0,94,7,2.75,0,13,1,10,11,1
48019,1,67,10,3.5,0,6,0,13,8,0
47950,1,72,6,3.283,1,12,0,14,18,1
47916,1,75,7,4.117,0,9,0,10,8,0
47896,1,60,10,3.317,1,8,0,9,7,1
47841,0,87,8,3.4,0,7,2,8,7,1
47829,1,75,2,3.05,1,4,1,6,5,1
47828,1,63,8,2.567,0,3,0,6,3,1
47822,1,53,10,3.15,0,6,1,11,10,1
47820,1,36,18,3.283,0,6,1,4,8,0
47816,1,70,11,3.767,2,11,1,8,19,0
47791,0,68,0,2.583,0,9,0,3,4,0
47747,1,79,7,2.817,0,6,0,14,7,1
47696,1,79,4,2.9,0,5,0,11,3,1
47684,1,76,18,2.783,2,7,1,6,5,0
47651,1,82,21,3.083,0,12,2,13,17,1
47608,1,50,13,3,1,6,0,19,11,1
47590,0,72,8,2.583,0,4,0,9,6,1
47559,0,88,12,3.5,2,7,0,11,13,1
47517,1,89,13,3.3,0,19,0,8,19,0
47505,1,68,0,2.583,0,7,0,7,6,1
47488,1,73,15,2.35,0,1,0,4,2,1
47485,1,74,7,3.1,1,11,0,10,15,1
47474,1,82,19,2.933,0,9,0,4,5,0
47444,1,77,5,3,1,10,1,13,15,1
47439,0,87,8,3.083,0,8,0,4,8,0
47438,0,73,6,2.95,0,7,0,12,6,0
47434,1,90,12,2.967,0,13,1,4,11,0
47378,0,72,9,3.2,0,8,0,9,12,1
47305,1,73,17,2.867,0,5,0,10,10,1
47301,1,76,4,2.7,0,6,2,6,12,0
47261,1,77,8,2.983,2,7,2,11,11,1
47249,1,67,18,3.183,1,13,0,14,19,1
47156,1,68,0,2.467,0,7,2,9,8,0
47138,1,68,0,2.8,1,11,1,7,12,0
47126,0,75,7,3.45,0,5,1,6,4,1
47125,0,95,11,2.683,0,5,0,8,3,1
47115,0,71,10,3.017,0,10,1,9,11,1
47066,1,59,7,2.717,2,7,0,14,14,1
47065,0,67,6,2.917,2,9,2,4,5,0
47016,0,68,0,3.1,2,3,1,13,9,1
46967,1,71,11,2.9,0,8,1,5,7,1
46960,0,78,6,2.917,2,6,1,5,5,1
46953,0,77,3,3.383,1,18,2,9,16,0
46950,0,87,11,3.133,0,7,2,9,7,1
46899,0,75,6,3.6,0,9,0,14,14,1
46811,0,91,10,3.8,0,9,0,16,15,0
46792,1,68,0,3.783,0,8,0,6,8,0
46737,0,89,18,2.683,0,9,0,4,3,0
46727,1,93,8,4.417,2,9,0,9,3,0
46716,0,67,7,3.017,4,9,1,11,12,1
46696,0,74,18,2.633,0,8,0,10,9,1
46665,1,68,0,3.167,1,8,1,5,6,0
46608,0,72,8,3.183,1,5,0,10,7,1
46470,0,68,5,2.883,0,7,1,11,12,1
46459,0,77,6,2.85,0,4,0,8,9,1
46441,1,76,2,3.15,0,7,1,9,11,1
46366,0,77,8,2.7,0,7,0,5,6,1
46335,0,83,6,3.717,1,15,2,15,23,1
46334,1,68,0,2.633,1,7,0,13,12,1
46330,0,82,13,2.817,0,12,1,7,8,0
46300,1,68,0,2.733,0,5,0,11,9,1
46283,0,81,1,3.3,1,8,0,12,9,1
46273,0,68,0,3.1,1,11,0,7,9,0
46268,1,78,11,2.733,1,8,2,7,7,1
46206,1,86,5,3,4,7,0,14,15,1
46197,1,76,11,3.317,1,10,0,12,15,1
46195,0,86,18,3.033,0,9,1,7,12,1
46158,1,68,0,2.45,1,7,0,7,3,1
46112,0,76,2,2.75,1,7,2,7,11,1
46025,1,90,9,3.367,0,11,1,11,13,0
45983,0,73,3,3.05,1,7,1,12,12,1
45962,1,68,8,3.167,2,5,0,18,18,1
45931,1,99,7,2.733,1,6,0,8,3,1
45825,1,68,0,6.217,0,15,2,11,3,0
45785,1,58,6,2.8,0,7,0,10,5,1
45756,0,50,17,3.167,0,13,0,6,5,1
45740,0,65,6,3.1,0,9,0,4,7,0
45618,0,70,2,3.017,1,10,0,10,14,1
45565,1,74,9,3.633,1,10,1,13,17,0
45515,0,76,10,3.967,1,10,0,8,13,1
45501,0,84,10,3.017,2,5,0,9,7,1
45477,0,94,6,2.933,1,13,1,6,9,0
45468,0,84,9,3.35,0,15,2,11,18,0
45453,0,78,4,2.65,0,6,1,12,11,1
45440,0,75,13,2.65,1,6,0,8,6,1
45432,0,75,15,2.533,0,9,1,5,5,0
45373,0,72,9,3.283,0,9,1,6,5,0
45304,0,92,14,3.283,4,9,1,8,5,1
45246,0,63,12,2.767,1,7,0,10,9,0
45229,1,66,17,2.85,0,6,0,8,7,0
45117,1,76,9,2.883,1,8,1,10,8,1
45049,1,38,11,2.733,0,3,0,13,4,1
45008,0,79,5,2.8,1,9,0,5,7,1
45007,0,66,9,3.1,0,6,0,11,11,1
44998,0,75,7,3.617,1,12,0,8,5,1
44997,0,72,8,2.517,3,7,0,13,17,1
44956,0,72,6,3.117,1,9,0,8,9,1
44954,0,61,17,2.85,1,8,0,7,5,0
44944,0,89,10,2.95,1,7,1,10,7,1
44907,0,78,14,3.083,1,6,1,10,9,1
44897,1,90,8,2.967,1,10,1,10,9,0
44855,0,66,8,2.35,0,4,0,3,4,1
44840,0,78,9,4.467,0,14,3,10,5,0
44840,0,86,8,2.65,0,3,0,8,5,1
44812,1,65,1,2.517,0,5,1,7,4,1
44808,0,77,5,2.983,3,7,0,8,8,1
44802,0,79,8,2.833,0,7,3,3,6,0
44762,0,69,20,2.65,1,8,0,9,6,1
44759,0,73,8,2.75,0,10,1,2,6,0
44747,0,62,3,3.183,0,5,0,4,3,0
44745,1,81,6,3.133,2,4,0,4,1,1
44712,0,96,8,2.833,0,7,0,7,5,1
44703,1,77,1,2.55,1,4,0,5,3,0
44701,1,83,5,2.617,0,12,0,3,7,0
44668,0,67,22,3.067,2,11,0,6,5,0
44643,0,83,0,2.933,1,6,0,8,7,1
44615,1,71,6,3.2,2,9,0,12,14,1
44613,1,85,7,2.783,1,8,1,7,8,1
44588,0,73,12,3.167,1,15,2,7,15,0
44532,0,68,0,3.367,1,11,2,6,12,0
44466,1,62,6,3.15,0,6,1,8,11,1
44439,0,72,5,2.9,1,4,0,10,7,1
44425,1,75,13,3.2,2,15,0,10,17,0
44404,0,76,11,3.35,0,17,0,9,10,0
44375,1,90,7,3.083,1,9,1,7,7,0
44352,0,74,6,3.083,0,7,1,4,4,1
44318,1,65,0,3.583,0,15,1,8,15,0
44317,0,81,4,3.45,2,10,2,9,14,0
44317,1,72,12,3.167,0,17,2,4,15,0
44244,0,65,6,3.2,3,5,0,7,4,1
44183,0,71,7,3.3,2,10,0,8,14,0
44129,0,80,8,2.85,0,8,1,4,6,0
44112,0,81,5,3.467,0,11,0,14,16,1
44099,1,47,21,3.15,1,8,1,9,9,1
44064,0,85,11,2.383,0,6,0,3,1,0
44060,0,82,6,2.85,0,4,0,7,6,1
44020,0,75,6,3.133,0,11,1,3,9,0
44009,0,62,7,2.85,1,9,0,8,8,0
44006,0,68,9,3.2,2,8,0,12,9,1
43957,0,73,4,2.783,0,6,0,5,1,1
43950,0,53,8,3.783,2,12,0,11,13,1
43936,0,67,11,4.533,0,8,0,7,7,0
43934,0,93,20,3.617,0,18,0,4,11,0
43926,1,81,2,2.9,0,11,0,4,9,0
43915,0,72,7,3.767,1,8,0,9,7,0
43856,1,64,2,2.567,1,6,1,8,7,1
43841,0,70,5,3.333,0,5,0,7,3,0
43829,1,80,9,2.733,0,13,1,6,9,0
43826,1,62,8,3.917,0,8,0,9,7,1
43812,0,79,5,3.217,0,9,0,12,12,1
43776,0,75,6,3.583,1,11,0,9,7,1
43690,1,68,13,2.983,0,7,1,12,14,1
43683,0,69,6,3.267,0,9,0,12,20,1
43683,1,50,16,2.933,2,6,0,6,8,1
43662,1,81,11,2.85,0,10,2,6,9,0
43644,0,73,9,2.883,0,3,0,9,5,1
43588,0,75,7,3.75,2,14,1,14,16,1
43576,1,90,6,3.117,1,8,1,5,4,0
43571,0,58,13,5.067,2,10,1,13,11,1
43560,0,74,5,3.183,1,8,0,5,6,0
43468,1,90,6,3.65,0,16,2,7,14,0
43462,0,77,9,3.05,0,8,1,9,11,1
43444,0,65,7,2.467,0,5,0,7,6,1
43435,0,77,2,2.967,0,3,1,6,3,1
43397,0,75,7,2.283,0,7,1,1,5,0
43332,0,73,0,2.983,0,11,0,14,10,1
43328,1,67,11,3.2,0,7,0,11,7,1
43310,1,90,10,4.133,0,11,2,8,11,0
43301,0,69,7,3.767,2,15,1,11,18,0
43288,1,91,7,3.233,0,8,0,10,5,1
43228,0,68,0,3.117,0,7,0,13,6,1
43166,0,63,11,3.417,0,6,2,11,11,0
43150,0,82,12,3.1,0,6,0,8,7,1
43134,0,77,6,2.933,0,15,2,6,11,0
43114,1,94,7,2.75,3,13,0,5,10,0
43100,1,68,10,5.783,1,16,0,9,14,0
43093,0,76,6,2.9,1,8,0,7,6,0
43093,1,69,10,2.667,1,5,0,9,8,1
43070,0,64,5,2.7,2,5,0,7,7,1
43046,1,93,12,3.05,1,13,0,4,9,0
42987,0,80,7,2.783,2,4,2,11,8,1
42960,1,84,2,2.95,1,11,0,9,9,0
42933,1,68,8,2.783,0,11,0,6,7,0
42884,0,87,6,2.95,1,3,1,11,4,1
42859,0,75,8,3.283,0,9,0,13,12,1
42819,0,75,8,2.65,2,6,0,10,8,1
42801,1,83,7,2.817,0,3,0,10,4,1
42723,1,69,7,3.033,1,6,3,8,7,0
42693,0,77,5,3.35,0,9,1,12,12,0
42651,0,90,13,2.85,0,9,3,6,8,1
42647,0,82,4,2.567,1,9,1,5,7,1
42618,0,65,7,2.9,1,6,1,7,2,1
42534,0,84,14,3.183,2,9,1,15,23,1
42525,0,89,7,2.3,0,9,1,5,7,0
42519,0,64,7,2.183,3,2,0,5,1,1
42514,0,68,5,2.2,1,4,0,13,6,1
42476,1,86,5,2.867,0,9,1,5,5,0
42457,0,71,4,2.817,0,4,0,11,7,1
