latitude,temperature,salinity,ph,oxygen,enterococcus,quality
26.013386,19.95,31.8,7.69,6.08,20,1
25.814849,19.09,31.8,7.65,6.08,0.99,1
26.025014,22.35,31.8,7.31,6.08,95,1
25.930998,20.43,31.8,7.4,6.08,84,1
25.972378,28.81,31.8,7.66,6.08,31,1
26.0165,19.98,31.8,7.65,6.08,0.99,1
26.022352,19.99,31.8,7.46,6.08,292,0
26.058156,20.25,31.8,7.61,6.08,20,1
26.082873,20.04,31.8,7.6,6.08,908,0
25.721483,18.46,31.8,7.59,6.08,0.99,1
25.832737,19.1,31.8,7.6,6.08,0.99,1
25.922304,19.87,31.8,7.5,6.08,31,1
25.972378,22.15,31.8,7.87,6.08,0.99,1
26.013386,19.95,31.8,7.69,6.08,0.99,1
25.814849,19.09,31.8,7.65,6.08,10,1
26.025014,22.35,31.8,7.31,6.08,41,1
25.930998,20.43,31.8,7.4,6.08,41,1
25.972378,22.15,31.8,7.87,6.08,0.99,1
26.0165,19.98,31.8,7.65,6.08,0.99,1
26.022352,19.99,31.8,7.46,6.08,60,1
26.058156,20.25,31.8,7.61,6.08,0.99,1
26.082873,20.04,31.8,7.6,6.08,0.99,1
25.721483,18.46,31.8,7.59,6.08,663,0
25.832737,19.1,31.8,7.6,6.08,70,1
25.922304,19.87,31.8,7.5,6.08,10,1
25.972378,28.81,31.8,7.66,6.08,0.99,1
26.013386,20.47,31.8,7.58,6.08,0.99,1
25.814849,18.96,31.8,7.58,6.08,0.99,1
26.025014,21.43,31.8,7.58,6.08,10,1
25.930998,20.17,31.8,7.58,6.08,119,1
25.972378,20.9,31.8,7.58,6.08,0.99,1
26.0165,20.3,31.8,7.58,6.08,20,1
26.022352,20.6,31.8,7.58,6.08,90,1
26.058156,20.32,31.8,7.58,6.08,437,0
26.082873,19.52,31.8,7.58,6.08,1338,0
25.721483,18.3,31.8,7.58,6.08,10,1
25.832737,19.02,31.8,7.58,6.08,0.99,1
25.922304,18.83,31.8,7.58,6.08,0.99,1
25.972378,24.32,31.8,7.58,6.08,0.99,1
26.013386,18,31.8,8.05,6.08,0.1,1
25.814849,20.06,31.8,7.89,6.08,0.99,1
26.025014,27.01,31.8,7.53,6.08,20,1
25.930998,23.78,31.8,7.89,6.08,31,1
25.972378,23.55,31.8,7.93,6.08,0.99,1
26.0165,21.86,31.8,7.96,6.08,0.99,1
26.022352,22.02,31.8,7.91,6.08,0.99,1
26.058156,21.54,31.8,7.98,6.08,0.99,1
26.082873,21.4,31.8,7.91,6.08,0.99,1
25.721483,19.94,31.8,7.79,6.08,0.99,1
25.832737,20.1,31.8,7.92,6.08,0.99,1
25.922304,23.88,31.8,8.02,6.08,10,1
25.972378,23.08,31.8,7.95,6.08,10,1
26.013386,21.58,32.4,8.05,7.09,0.99,1
25.814849,20.81,32.9,7.89,7.09,0.99,1
26.025014,28.1,22.7,7.53,7.09,20,1
25.930998,24.79,29.9,7.89,7.09,135,1
25.972378,25.27,33.5,7.93,7.09,0.99,1
26.0165,22.58,32.6,7.96,7.09,0.99,1
26.022352,22.59,32.8,7.91,7.09,0.99,1
26.058156,22.32,33,7.98,7.09,0.99,1
26.082873,22.53,33,7.91,7.09,0.99,1
25.721483,20.45,32,7.79,7.09,0.99,1
25.832737,21.18,32.6,7.92,7.09,0.99,1
